energy,integrity,health,drive,satisfaction,action,t,drives,module_priorities,homeostasis_activated,structure_adjusted,found_resource
0.795,0.9289999999999999,0.9995,0.0023470661677734376,0.9976529338322265,explore,0,"{'physiological': 0.0, 'safety': 6.938893903907228e-17, 'exploration': 0.8, 'growth': 1.0, 'curiosity': 0.3}","{'physiology': 0.1, 'cognition': 0.5, 'exploration': 0.4, 'growth': 0.3}",False,True,False
0.8925000000000001,0.9279999999999999,0.9990000000000001,0.03117070605735784,0.9688292939426422,explore,1,"{'physiological': 0.0, 'safety': 0.24706616729028316, 'exploration': 0.3, 'growth': 0.9594, 'curiosity': 0.0002694399999999994}","{'physiology': 0.1, 'cognition': 0.47983472, 'exploration': 0.18, 'growth': 0.3}",False,True,True
0.7884975000000001,0.9269999999999999,0.9985000000000002,0.03156536550724736,0.9684346344927527,explore,2,"{'physiological': 0.0, 'safety': 0.2110366174283027, 'exploration': 0.3, 'growth': 0.9188000000000001, 'curiosity': 0.014075849584000003}","{'physiology': 0.1, 'cognition': 0.466437924792, 'exploration': 0.18, 'growth': 0.3}",False,True,False
0.6849900125,0.9059999999999999,0.9980000000000002,0.03195489440934378,0.9680451055906563,explore,3,"{'physiological': 0.0, 'safety': 0.21054329311594086, 'exploration': 0.3, 'growth': 0.8781999999999999, 'curiosity': 0.017170863032965}","{'physiology': 0.1, 'cognition': 0.44768543151648243, 'exploration': 0.18, 'growth': 0.3}",False,True,False
0.5819750624375,0.8849999999999999,0.9975000000000003,0.039843384275349975,0.96015661572465,explore,4,"{'physiological': 0.025016645833333222, 'safety': 0.21005638198832033, 'exploration': 0.3, 'growth': 0.8376, 'curiosity': 0.01795932789980304}","{'physiology': 0.1, 'cognition': 0.4277796639499015, 'exploration': 0.18, 'growth': 0.3}",False,True,False
0.6896521971453125,0.8839999999999999,0.9970000000000003,0.09167706294635825,0.9083229370536418,explore,5,"{'physiological': 0.1967082292708333, 'safety': 0.20019576965581257, 'exploration': 0.3, 'growth': 0.7969999999999999, 'curiosity': 0.017707716621888574}","{'physiology': 0.15736658341666665, 'cognition': 0.40735385831094423, 'exploration': 0.18, 'growth': 0.3}",False,True,True
0.799918976329886,0.8829999999999999,0.9965000000000004,0.03825668479681377,0.9617433152031862,explore,6,"{'physiological': 0.01724633809114584, 'safety': 0.1354036713170522, 'exploration': 0.3, 'growth': 0.7564, 'curiosity': 0.021228925396571157}","{'physiology': 0.1, 'cognition': 0.38881446269828557, 'exploration': 0.18, 'growth': 0.3}",False,True,True
0.6983669116489375,0.8819999999999999,0.9960000000000004,0.03349669903563086,0.9665033009643691,explore,7,"{'physiological': 0.0, 'safety': 0.2021791440039828, 'exploration': 0.3, 'growth': 0.7158, 'curiosity': 0.02509458218848577}","{'physiology': 0.1, 'cognition': 0.3704472910942429, 'exploration': 0.18, 'growth': 0.3}",False,True,False
0.8138689484170099,0.8809999999999999,0.9955000000000005,0.03472510127583136,0.9652748987241686,explore,8,"{'physiological': 0.002721813918437436, 'safety': 0.20812912620546137, 'exploration': 0.3, 'growth': 0.6751999999999999, 'curiosity': 0.02358021030663767}","{'physiology': 0.1, 'cognition': 0.3493901051533188, 'exploration': 0.18, 'growth': 0.3}",False,True,True
0.7132799905812539,0.8599999999999999,0.9950000000000006,0.034331695759617024,0.965668304240383,explore,9,"{'physiological': 0.0, 'safety': 0.20659362340521076, 'exploration': 0.3, 'growth': 0.6346, 'curiosity': 0.0261605301661541}","{'physiology': 0.1, 'cognition': 0.33038026508307705, 'exploration': 0.18, 'growth': 0.3}",False,True,False
0.6131689775346767,0.8589999999999999,0.9945000000000006,0.03475583565866324,0.9652441643413368,explore,10,"{'physiological': 0.0, 'safety': 0.2070853803004787, 'exploration': 0.3, 'growth': 0.594, 'curiosity': 0.023938977709937782}","{'physiology': 0.1, 'cognition': 0.3089694888549689, 'exploration': 0.18, 'growth': 0.297}",False,True,False
0.5135335195533324,0.8579999999999999,0.9940000000000007,0.07858764481631736,0.9214123551836826,explore,11,"{'physiological': 0.14471837077553876, 'safety': 0.20655520542667094, 'exploration': 0.3, 'growth': 0.5933999999999999, 'curiosity': 0.022035905962740965}","{'physiology': 0.11577469662043101, 'cognition': 0.30771795298137045, 'exploration': 0.18, 'growth': 0.29669999999999996}",False,True,False
0.4143712388618948,0.8569999999999999,0.9935000000000007,0.12877548831918845,0.8712245116808115,explore,12,"{'physiological': 0.3107774674111126, 'safety': 0.15176544397960323, 'exploration': 0.3, 'growth': 0.5928, 'curiosity': 0.02052531687809276}","{'physiology': 0.2486219739288901, 'cognition': 0.3066626584390464, 'exploration': 0.18, 'growth': 0.2964}",False,True,False
